timestamp,src_ip,dst_ip,protocol,src_port,dst_port,packet_size,flags,protocol_enc,anomaly,risk_score,suspicious_port,alert,severity
2026-05-29 05:31:41,192.168.29.53,34.107.243.93,TCP,44188,443,66,A,2,1,48.37,False,False,NORMAL
2026-05-29 05:31:41,192.168.29.53,34.107.243.93,TCP,44188,443,94,PA,2,1,49.02,False,False,NORMAL
2026-05-29 05:31:41,34.107.243.93,192.168.29.53,TCP,443,44188,66,A,2,1,49.34,False,False,NORMAL
2026-05-29 05:31:46,192.168.29.1,224.0.0.1,OTHER,0,0,60,,1,1,36.42,False,False,NORMAL
2026-05-29 05:31:46,192.168.29.99,224.0.0.22,OTHER,0,0,60,,1,1,36.42,False,False,NORMAL
2026-05-29 05:31:47,192.168.29.99,224.0.0.22,OTHER,0,0,62,,1,1,46.78,False,False,NORMAL
2026-05-29 05:32:00,34.117.95.95,192.168.29.53,TCP,443,36506,101,PA,2,1,43.31,False,False,NORMAL
2026-05-29 05:32:00,192.168.29.53,34.117.95.95,TCP,36506,443,66,A,2,1,43.42,False,False,NORMAL
2026-05-29 05:32:06,192.168.29.1,224.0.0.1,OTHER,0,0,60,,1,1,36.42,False,False,NORMAL
2026-05-29 05:32:06,192.168.29.99,224.0.0.22,OTHER,0,0,62,,1,1,46.78,False,False,NORMAL
2026-05-29 05:32:07,192.168.29.99,224.0.0.22,OTHER,0,0,60,,1,1,36.42,False,False,NORMAL
2026-05-29 05:32:26,192.168.29.1,224.0.0.1,OTHER,0,0,60,,1,1,36.42,False,False,NORMAL
2026-05-29 05:32:28,192.168.29.99,224.0.0.22,OTHER,0,0,60,,1,1,36.42,False,False,NORMAL
2026-05-29 05:32:30,192.168.29.99,224.0.0.22,OTHER,0,0,60,,1,1,36.42,False,False,NORMAL
2026-05-29 05:32:30,34.117.95.95,192.168.29.53,TCP,443,36506,101,PA,2,1,43.31,False,False,NORMAL
2026-05-29 05:32:30,192.168.29.53,34.117.95.95,TCP,36506,443,66,A,2,1,43.42,False,False,NORMAL
2026-05-29 05:32:33,192.168.29.99,224.0.0.22,OTHER,0,0,60,,1,1,36.42,False,False,NORMAL
2026-05-29 05:32:34,192.168.29.1,192.168.29.53,UDP,57346,7,60,,3,-1,50.26,False,True,MEDIUM
2026-05-29 05:32:34,192.168.29.53,192.168.29.1,ICMP,0,0,71,,0,1,49.1,False,False,NORMAL
2026-05-29 05:32:43,192.168.29.1,192.168.29.53,ICMP,0,0,60,,0,1,47.16,False,False,NORMAL
2026-05-29 05:32:43,192.168.29.53,192.168.29.1,ICMP,0,0,46,,0,-1,50.25,False,True,MEDIUM
2026-05-29 05:32:46,192.168.29.1,224.0.0.1,OTHER,0,0,60,,1,1,36.42,False,False,NORMAL
2026-05-29 05:32:47,192.168.29.99,224.0.0.22,OTHER,0,0,60,,1,1,36.42,False,False,NORMAL
2026-05-29 05:32:48,192.168.29.99,224.0.0.22,OTHER,0,0,60,,1,1,36.42,False,False,NORMAL
2026-05-29 05:32:52,192.168.29.99,224.0.0.22,OTHER,0,0,60,,1,1,36.42,False,False,NORMAL
2026-05-29 05:33:01,34.117.95.95,192.168.29.53,TCP,443,36506,101,PA,2,1,43.31,False,False,NORMAL
2026-05-29 05:33:01,192.168.29.53,34.117.95.95,TCP,36506,443,66,A,2,1,43.42,False,False,NORMAL
2026-05-29 05:33:06,192.168.29.1,224.0.0.1,OTHER,0,0,60,,1,1,36.42,False,False,NORMAL
2026-05-29 05:33:09,192.168.29.99,224.0.0.22,OTHER,0,0,60,,1,1,36.42,False,False,NORMAL
2026-05-29 05:33:11,192.168.29.53,192.168.29.1,UDP,38509,53,91,,3,1,43.36,False,False,NORMAL
2026-05-29 05:33:11,192.168.29.1,192.168.29.53,UDP,53,38509,107,,3,1,42.35,False,False,NORMAL
2026-05-29 05:33:11,192.168.29.53,192.168.29.1,UDP,38509,53,91,,3,1,43.36,False,False,NORMAL
2026-05-29 05:33:11,192.168.29.1,192.168.29.53,UDP,53,38509,119,,3,1,43.45,False,False,NORMAL
2026-05-29 05:33:12,192.168.29.53,192.168.29.1,UDP,41922,53,92,,3,1,44.17,False,False,NORMAL
2026-05-29 05:33:12,192.168.29.53,192.168.29.1,UDP,59350,53,92,,3,1,44.19,False,False,NORMAL
2026-05-29 05:33:12,192.168.29.53,192.168.29.1,UDP,59350,53,92,,3,1,44.19,False,False,NORMAL
2026-05-29 05:33:12,192.168.29.1,192.168.29.53,UDP,53,59350,120,,3,1,44.41,False,False,NORMAL
2026-05-29 05:33:12,192.168.29.1,192.168.29.53,UDP,53,41922,182,,3,-1,52.82,False,True,MEDIUM
